ec013.32,ec013,EC3,EC4,EC5,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.33,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.34,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.35,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.36,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.37,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.38,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.39,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.40,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.41,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.42,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.43,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.44,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.45,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.46,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.47,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.48,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.49,ec013,EC2,EC3,EC4,EC5,CA1,CA1,CA1,CA1,"","","","","","","",""
ec013.50,ec013,EC2,EC3,EC4,EC5,DG,DG,DG,DG,"","","","","","","",""
ec013.51,ec013,EC2,EC3,EC4,EC5,DGCA3,DGCA3,DGCA3,DGCA3,"","","","","","","",""
ec013.52,ec013,EC2,EC3,EC4,EC5,CA3,CA3,CA3,CA3,"","","","","","","",""
ec013.53,ec013,EC2,EC3,EC4,EC5,CA3,CA3,CA3,CA3,"","","","","","","",""
ec013.54,ec013,EC2,EC3,EC4,EC5,CA3,CA3,CA3,CA3,"","","","","","","",""
ec013.55,ec013,EC2,EC2,EC3,EC5,CA3,CA3,CA3,CA3,"","","","","","","",""
ec013.56,ec013,EC2,EC2,EC3,EC5,CA3,CA3,CA3,CA3,"","","","","","","",""
ec014.12,ec014,CA1,CA1,CA1,CA1,CA1,CA1,CA1,CA1,EC2,EC3,EC3,EC5,"","","",""
ec014.13,ec014,CA1,CA1,CA1,CA1,CA1,CA1,CA1,CA1,EC2,EC3,EC3,EC5,"","","",""
ec014.16,ec014,CA1,CA1,CA1,CA1,CA1,CA1,CA1,CA1,EC2,EC3,EC3,EC5,"","","",""
ec014.17,ec014,CA1,CA1,CA1,CA1,CA1,CA1,CA1,CA1,EC2,EC3,EC3,EC5,"","","",""
ec014.18,ec014,CA1,CA1,CA1,CA1,CA1,CA1,CA1,CA1,EC2,EC3,EC3,EC5,"","","",""
ec014.20,ec014,CA1,CA1,CA1,CA1,CA1,CA1,CA1,CA1,EC2,EC3,EC3,EC5,"","","",""
